id,text,source
763398630812311552,Morning Joe's weakness is its low ratings. I don't watch anymore but I heard he went wild against Rudy Giuliani and #2A - sad &amp; irrelevant!,Twitter for iPhone
763391459110313984,.@dbongino  You were fantastic in defending both the Second Amendment and me last night on @CNN. Don Lemon is a lightweight - dumb as a rock,Twitter for Android
763385288295055360,"""@dbongino: ‘Now cut off my mic!’ Bongino refuses to be bullied by Don Lemon over Trump, 2nd Amendment – HEATED! https://t.co/UgtfaUXzcr""",Twitter for Android
763198483927011329,Media desperate to distract from Clinton's anti-2A stance. I said pro-2A citizens must organize and get out vote to save our Constitution!,Twitter for iPhone
763180978588221440,"When is the media going to talk about Hillary's policies that have gotten people killed, like Libya, open borders, and maybe her emails?",Twitter Web Client
763167671974232064,"Thank you Senator @ChuckGrassley! #TrumpPence16
https://t.co/YmdH3fcaeW",Twitter Web Client
763167345405784064,"Thank you @SenatorFischer! #TrumpPence16
https://t.co/RMtU6aRZTQ",Twitter Web Client
763119571309998083,"Thank you Wilmington, North Carolina!
#MakeAmericaGreatAgain https://t.co/ZnnaSPF5or",Twitter Web Client
762982360853905408,"""@LinHen23:  @foxandfriends Loved Trump's answers to voters questions this morning! Trump's economic plan will help #MAGA #NeverHillary""",Twitter for Android
762982142783676416,"""@sprts08: @realDonaldTrump @foxandfriends great interview.....all solid points on our economy TRUMP2016""",Twitter for Android
762981606755856384,"I am running against the Washington insiders, just like I did in the Republican Primaries. These are the people that have made U.S. a mess!",Twitter for Android
762974889275953152,Will be interviewed on @foxandfriends now!,Twitter for Android
762842126900015105,Being in Detroit today was wonderful. Quick stop in Ohio to meet with some of our great supporters. Just got back home!,Twitter for Android
762790167732035585,"'As Senator Clinton promised 200,000 jobs in Upstate New York - her efforts fell flat.' https://t.co/I2WqZb5N8P https://t.co/i5S3mtJWpe",Twitter for iPhone
762781826549030912,Many people are saying that the Iranians killed the scientist who helped the U.S. because of Hillary Clinton's hacked emails.,Twitter for iPhone
762781418778791936,Thank you Newt!  https://t.co/Acg0hMvrpr,Twitter for iPhone
762777166476025856,Thank you Congressman Steven Palazzo! https://t.co/R5Z4CGfjqJ https://t.co/XGSIJJQiGJ,Twitter for iPhone
762776440681095169,"Thank you Senator David Perdue!
https://t.co/d0dCUZ20jf https://t.co/LmfiGByFPb",Twitter for iPhone
762775525756514304,"Thank you @RepLouBarletta!
https://t.co/bre8u93vac https://t.co/eKtSXUw51R",Twitter for iPhone
762774321580367872,Thank you @NFIB- together we will #MakeAmericaGreatAgain!  https://t.co/wQQIHQKsdK,Twitter for iPhone
762773468479889409,Thank you!  https://t.co/4p0hzpkVWF,Twitter for iPhone
762771974657495041,Thank you Alex!  https://t.co/c2uIa7mndP,Twitter for iPhone
762669882571980801,My economic policy speech will be carried live at 12:15 P.M. Enjoy!,Twitter for Android
